stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code
S0904000001,鹿沼駅,36.5704927926514,139.762027761645,0,1,,,,,,,
S090400000100200,鹿沼駅,36.5699112618757,139.762270823791,Z000800,0,S0904000001,,,,,,２
S090400000100300,鹿沼駅,36.5710569629599,139.761715261619,Z000800,0,S0904000001,,,,,,３
S090400000100400,鹿沼駅,36.5707531820729,139.762062468994,Z000800,0,S0904000001,,,,,,４
S090400000100500,鹿沼駅,36.5708486731315,139.762930448068,Z000800,0,S0904000001,,,,,,５
S0904000002,府所,36.5685050682839,139.756889391021,0,1,,,,,,,
S090400000200000,府所,36.5685050682839,139.756889391021,Z000810,0,S0904000002,,,,,,
S0904000003,朝日町,36.5674894809575,139.75282727514,0,1,,,,,,,
S090400000300000,朝日町,36.5674894809575,139.75282727514,Z000820,0,S0904000003,,,,,,
S0904000004,上田町,36.5671943323992,139.750466373691,0,1,,,,,,,
S090400000400000,上田町,36.5671943323992,139.750466373691,Z000830,0,S0904000004,,,,,,
S0904000005,天神町,36.5671422164338,139.748279057745,0,1,,,,,,,
S090400000500000,天神町,36.5671422164338,139.748279057745,Z000840,0,S0904000005,,,,,,
S0904000006,久保町,36.566187435615,139.747029205509,0,1,,,,,,,
S090400000600000,久保町,36.566187435615,139.747029205509,Z000850,0,S0904000006,,,,,,
S0904000009,上都賀病院,36.5609363212095,139.750466661828,0,1,,,,,,,
S090400000900000,上都賀病院,36.5609363212095,139.750466661828,Z007260,0,S0904000009,,,,,,
S0904000010,万町,36.5586188977449,139.752584648196,0,1,,,,,,,
S090400001000000,万町,36.5586188977449,139.752584648196,Z007270,0,S0904000010,,,,,,
S0904000011,鹿沼高校,36.5573776746762,139.750501545017,0,1,,,,,,,
S090400001100000,鹿沼高校,36.5573776746762,139.750501545017,Z007280,0,S0904000011,,,,,,
S0904000012,鳥居跡町,36.5572300579498,139.746890740577,0,1,,,,,,,
S090400001200000,鳥居跡町,36.5572300579498,139.746890740577,Z000890,0,S0904000012,,,,,,
S0904000013,鹿沼商工入口,36.5544178581403,139.746856150721,0,1,,,,,,,
S090400001300000,鹿沼商工入口,36.5544178581403,139.746856150721,Z000900,0,S0904000013,,,,,,
S0904000014,鹿沼営業所,36.5530811919178,139.746647896231,0,1,,,,,,,
S090400001400000,鹿沼営業所,36.5530811919178,139.746647896231,Z000910,0,S0904000014,,,,,,
S0904000015,おもちゃのまち駅,36.4663991919049,139.828902000972,0,1,,,,,,,
S090400001500000,おもちゃのまち駅,36.4663991919049,139.828902000972,Z000000,0,S0904000015,,,,,,
S0904000016,助谷入口,36.4667984244353,139.827166015649,0,1,,,,,,,
S090400001600000,助谷入口,36.4667984244353,139.827166015649,Z000010,0,S0904000016,,,,,,
S0904000017,獨協医大入口,36.4705827485517,139.827547754134,0,1,,,,,,,
S090400001700000,獨協医大入口,36.4705827485517,139.827547754134,Z000020,0,S0904000017,,,,,,
S0904000018,獨協医大病院前,36.4713812360489,139.825360399024,0,1,,,,,,,
S090400001800000,獨協医大病院前,36.4713812360489,139.825360399024,Z000030,0,S0904000018,,,,,,
S0904000019,宇都宮グリーンタウン,36.6409125646996,139.874063825661,0,1,,,,,,,
S090400001900000,宇都宮グリーンタウン,36.6409125646996,139.874063825661,Z005600,0,S0904000019,,,,,,
S0904000020,グリーンタウン西,36.6373278707954,139.873612639306,0,1,,,,,,,
S090400002000000,グリーンタウン西,36.6373278707954,139.873612639306,Z005610,0,S0904000020,,,,,,
S0904000021,グリーンタウン中央,36.6358697443675,139.876529130903,0,1,,,,,,,
S090400002100000,グリーンタウン中央,36.6358697443675,139.876529130903,Z005620,0,S0904000021,,,,,,
S0904000022,グリーンタウン東,36.6376838537552,139.880382893983,0,1,,,,,,,
S090400002200000,グリーンタウン東,36.6376838537552,139.880382893983,Z005630,0,S0904000022,,,,,,
S0904000023,宇都宮グリーンタウン入口,36.6395239523005,139.881389670086,0,1,,,,,,,
S090400002300000,宇都宮グリーンタウン入口,36.6395239523005,139.881389670086,Z005640,0,S0904000023,,,,,,
S0904000024,立伏,36.6420757626885,139.881389552593,0,1,,,,,,,
S090400002400000,立伏,36.6420757626885,139.881389552593,Z005650,0,S0904000024,,,,,,
S0904000025,太陽ヶ丘団地入口,36.6420933735943,139.895798077389,0,1,,,,,,,
S090400002500000,太陽ヶ丘団地入口,36.6420933735943,139.895798077389,Z005660,0,S0904000025,,,,,,
S0904000026,自由ヶ丘団地入口,36.6409738090201,139.901943451907,0,1,,,,,,,
S090400002600000,自由ヶ丘団地入口,36.6409738090201,139.901943451907,Z005670,0,S0904000026,,,,,,
S0904000027,田原小学校,36.6401666552364,139.90489463287,0,1,,,,,,,
S090400002700000,田原小学校,36.6401666552364,139.90489463287,Z005680,0,S0904000027,,,,,,
S0904000028,田原中学校前,36.6375974722534,139.904130925709,0,1,,,,,,,
S090400002800000,田原中学校前,36.6375974722534,139.904130925709,Z005690,0,S0904000028,,,,,,
S0904000029,下田原交差点,36.6340040793175,139.902568720912,0,1,,,,,,,
S090400002900000,下田原交差点,36.6340040793175,139.902568720912,Z005700,0,S0904000029,,,,,,
S0904000030,下田原,36.6288831077766,139.90305502744,0,1,,,,,,,
S090400003000000,下田原,36.6288831077766,139.90305502744,Z005710,0,S0904000030,,,,,,
S0904000031,山田橋,36.6223039582647,139.903506681768,0,1,,,,,,,
S090400003100000,山田橋,36.6223039582647,139.903506681768,Z005720,0,S0904000031,,,,,,
S0904000032,塚原,36.616358397887,139.902604252711,0,1,,,,,,,
S090400003200000,塚原,36.616358397887,139.902604252711,Z005730,0,S0904000032,,,,,,
S0904000033,北山霊園前,36.6110724630995,139.900208861712,0,1,,,,,,,
S090400003300000,北山霊園前,36.6110724630995,139.900208861712,Z005740,0,S0904000033,,,,,,
S0904000034,岩本,36.6064288304249,139.898368950561,0,1,,,,,,,
S090400003400000,岩本,36.6064288304249,139.898368950561,Z005750,0,S0904000034,,,,,,
S0904000035,関沢,36.6027833742793,139.897640012294,0,1,,,,,,,
S090400003500000,関沢,36.6027833742793,139.897640012294,Z005760,0,S0904000035,,,,,,
S0904000036,豊郷中学校前,36.6005093204502,139.898126187741,0,1,,,,,,,
S090400003600000,豊郷中学校前,36.6005093204502,139.898126187741,Z005770,0,S0904000036,,,,,,
S0904000037,豊郷中央小前,36.5965687424274,139.896563998931,0,1,,,,,,,
S090400003700100,豊郷中央小前,36.5968030778077,139.89573072401,Z002680,0,S0904000037,,,,,,１
S090400003700200,豊郷中央小前,36.5974887920033,139.897084746651,Z002680,0,S0904000037,,,,,,２
S090400003700300,豊郷中央小前,36.5966989574522,139.897744450454,Z002680,0,S0904000037,,,,,,３
S090400003700400,豊郷中央小前,36.5955705774198,139.896112693484,Z002680,0,S0904000037,,,,,,４
S090400003700500,豊郷中央小前,36.5980095659951,139.89687640664,Z002680,0,S0904000037,,,,,,５
S090400003700600,豊郷中央小前,36.5975495845641,139.899098465503,Z002680,0,S0904000037,,,,,,６
S0904000038,北高西,36.5926194896286,139.89527956523,0,1,,,,,,,
S090400003800000,北高西,36.5926194896286,139.89527956523,Z002670,0,S0904000038,,,,,,
S0904000039,岩曽西,36.5870210900822,139.892988346635,0,1,,,,,,,
S090400003900000,岩曽西,36.5870210900822,139.892988346635,Z004240,0,S0904000039,,,,,,
S0904000040,富士見が丘入口,36.5822212222994,139.891044284661,0,1,,,,,,,
S090400004000000,富士見が丘入口,36.5822212222994,139.891044284661,Z002950,0,S0904000040,,,,,,
S0904000041,山本,36.5803377359268,139.890627739317,0,1,,,,,,,
S090400004100000,山本,36.5803377359268,139.890627739317,Z002940,0,S0904000041,,,,,,
S0904000042,上大曽,36.5771175845444,139.89007237816,0,1,,,,,,,
S090400004200000,上大曽,36.5771175845444,139.89007237816,Z002930,0,S0904000042,,,,,,
S0904000043,大曽十文字,36.5745223754142,139.890037778313,0,1,,,,,,,
S090400004300000,大曽十文字,36.5745223754142,139.890037778313,Z004230,0,S0904000043,,,,,,
S0904000044,宇商高校前,36.5706772999714,139.890003236013,0,1,,,,,,,
S090400004400000,宇商高校前,36.5706772999714,139.890003236013,Z004220,0,S0904000044,,,,,,
S0904000045,大曽一丁目,36.5678303792277,139.889829770399,0,1,,,,,,,
S090400004500000,大曽一丁目,36.5678303792277,139.889829770399,Z004210,0,S0904000045,,,,,,
S0904000046,東校西,36.5665544734273,139.889795109807,0,1,,,,,,,
S090400004600000,東校西,36.5665544734273,139.889795109807,Z004200,0,S0904000046,,,,,,
S0904000047,塙田十文字,36.5644019198252,139.889448015528,0,1,,,,,,,
S090400004700000,塙田十文字,36.5644019198252,139.889448015528,Z004190,0,S0904000047,,,,,,
S0904000048,宮島町十文字,36.5608519371529,139.88858019551,0,1,,,,,,,
S090400004800000,宮島町十文字,36.5608519371529,139.88858019551,Z000230,0,S0904000048,,,,,,
S090400004800100,宮島町十文字,36.5610949588305,139.888128832916,Z000230,0,S0904000048,,,,,,１
S090400004800200,宮島町十文字,36.5618501021605,139.889031500956,Z000230,0,S0904000048,,,,,,２
S090400004800300,宮島町十文字,36.5606609908127,139.888892678351,Z000230,0,S0904000048,,,,,,３
S090400004800400,宮島町十文字,36.5615549875601,139.888614882478,Z000230,0,S0904000048,,,,,,４
S090400004800101,宮島町十文字,36.5610949588305,139.888128832916,Z000231,0,S0904000048,,,,,,１
S090400004800201,宮島町十文字,36.5618501021605,139.889031500956,Z000231,0,S0904000048,,,,,,２
S090400004800301,宮島町十文字,36.5606609908127,139.888892678351,Z000231,0,S0904000048,,,,,,３
S090400004800401,宮島町十文字,36.5615549875601,139.888614882478,Z000231,0,S0904000048,,,,,,４
S0904000049,大工町,36.5603919557217,139.890802254373,0,1,,,,,,,
